name,fc,log2fc,padj,log10p,colour,label
PC O-16:1_18:1,0.9674,-0.047819,0.0000211,0.20515,Not_significant,
PI 37:4,20.159,4.3334,0.0000000108,0.1999,Upregulated,PI 37:4
Hex2Cer 18:1;O2/18:0,20.159,4.3334,0.77715,0.1999,Not_significant,
Cer 18:1;O2/22:0,0.95679,-0.063726,0.33531,0.17532,Not_significant,
PC 35:1,0.97958,-0.029771,0.096414,0.17198,Not_significant,
Cer 18:0;O2/24:0,1.1899,0.25083,0.22532,0.16056,Not_significant,
LPE 18:1,11.406,3.5117,0.88568,0.15418,Not_significant,
TG 44:1,11.406,3.5117,0.060147,0.15418,Not_significant,
SM 38:2;O2,1.0181,0.025942,0.056362,0.15038,Not_significant,
PC O-18:1_18:1,1.0172,0.024616,0.0067278,0.12135,Not_significant,
Cer 18:1;O2/16:0,0.92851,-0.10701,0.00040629,0.11709,Not_significant,
Cer 18:1;O2/20:0,1.0124,0.017834,0.26934,0.11669,Not_significant,
ST 19:2;O2;S,1.3153,0.39534,0.0000357,0.11217,Not_significant,
SM 36:2;O2,0.98863,-0.016499,0.43096,0.1095,Not_significant,
Cer 18:1;O2/26:0,1.0071,0.010229,0.043438,0.096727,Not_significant,
LPE 20:3,0.61826,-0.69371,0.0051651,0.077814,Downregulated,LPE 20:3
TG 49:3,0.61826,-0.69371,0.0010589,0.077814,Downregulated,TG 49:3
PC 34:4,0.99471,-0.0076452,0.00070889,0.053705,Not_significant,
LPE 16:0,1.009,0.012897,0.59194,0.052721,Not_significant,
SM 44:3;O2,1.009,0.012897,0.0000134,0.052721,Not_significant,
LPE 17:0,0.99775,-0.0032447,0.027462,0.012265,Not_significant,
TG 42:2,0.99775,-0.0032447,0.4483,0.012265,Not_significant,
PC O-16:1_18:2,1.0028,0.0039873,0.00082203,0.0099045,Not_significant,
PI 34:2,1.02,0.028611,0.00000104,0.0078847,Not_significant,
Cer 18:1;O2/24:0.1,1.02,0.028611,0.0005999,0.0078847,Not_significant,
